text,label
The package was delivered but reception mentioned the box was slightly damaged.,ham
You have been chosen as a mystery shopper.,spam
Limited time investment opportunity with guaranteed 15% weekly returns.,spam
Thanks again for your support during the release process. Please ignore any click here emails you may receive.,ham
Free airline tickets available for a limited time. Regarding the update discussion from last week.,spam
Let’s move our project sync to Friday due to the public holiday.,ham
You have been chosen as a mystery shopper.,spam
Please review the updated privacy policy attached below.,ham
Unlock hidden crypto profits today. Regarding the invoice discussion from last week.,spam
Please review the updated privacy policy attached below.,ham
The IT team resolved the login issue. Try accessing the system again.,ham
Reminder: parent-teacher meeting this Thursday at 6 PM. Please ignore any free emails you may receive.,ham
You have an unpaid invoice. Download the document to review. Regarding the project discussion from last week.,spam
You have been chosen as a mystery shopper. Regarding the report discussion from last week.,spam
Secret weight loss formula doctors don't want you to know. Regarding the update discussion from last week.,spam
You are pre-approved for a platinum credit card. No credit check required. Regarding the schedule discussion from last week.,spam
The training materials are now available in the portal. Please ignore any offer emails you may receive.,ham
Please confirm once you’ve signed the NDA.,ham
Final reminder: your subscription will be canceled unless payment is updated.,spam
Unlock hidden crypto profits today.,spam
We attempted to deliver your parcel but failed. Reschedule delivery here. Regarding the schedule discussion from last week.,spam
Update your billing information to continue service. Regarding the schedule discussion from last week.,spam
You have an unpaid invoice. Download the document to review.,spam
Important notice: unusual activity detected in your account. Verify your identity immediately. Regarding the meeting discussion from last week.,spam
Please review the updated privacy policy attached below.,ham
The training materials are now available in the portal. Please ignore any winner emails you may receive.,ham
Your dentist appointment is confirmed for March 12th at 09:45. Please ignore any click here emails you may receive.,ham
Your Netflix subscription has been renewed successfully.,ham
The package was delivered but reception mentioned the box was slightly damaged.,ham
Hot investment tips just for selected members. Regarding the meeting discussion from last week.,spam
Update your billing information to continue service.,spam
Your grocery order will arrive between 5–7 PM. Please ignore any winner emails you may receive.,ham
Please confirm once you’ve signed the NDA.,ham
Update your billing information to continue service.,spam
Earn passive income online using this proven method.,spam
You have been chosen as a mystery shopper.,spam
Thanks again for your support during the release process. Please ignore any bonus emails you may receive.,ham
Hot investment tips just for selected members.,spam
Attached is the draft proposal for the new marketing campaign. Please ignore any urgent emails you may receive.,ham
Update your billing information to continue service. Regarding the meeting discussion from last week.,spam
Limited time investment opportunity with guaranteed 15% weekly returns.,spam
Your grocery order will arrive between 5–7 PM. Please ignore any urgent emails you may receive.,ham
Attached is the draft proposal for the new marketing campaign. Please ignore any click here emails you may receive.,ham
Can you please upload the final slides to the shared drive before the client call? Please ignore any click here emails you may receive.,ham
Thanks again for your support during the release process. Please ignore any winner emails you may receive.,ham
The package was delivered but reception mentioned the box was slightly damaged. Please ignore any free emails you may receive.,ham
Can you please upload the final slides to the shared drive before the client call? Please ignore any click here emails you may receive.,ham
Thanks for sending the contract. I've added a few comments for review.,ham
You have an unpaid invoice. Download the document to review.,spam
Confirm your password to avoid permanent account suspension.,spam
The package was delivered but reception mentioned the box was slightly damaged. Please ignore any bonus emails you may receive.,ham
Unlock hidden crypto profits today. Regarding the meeting discussion from last week.,spam
Can we schedule a quick Zoom call tomorrow morning? Please ignore any offer emails you may receive.,ham
Secret weight loss formula doctors don't want you to know. Regarding the report discussion from last week.,spam
Important notice: unusual activity detected in your account. Verify your identity immediately. Regarding the schedule discussion from last week.,spam
The package was delivered but reception mentioned the box was slightly damaged.,ham
Let’s move our project sync to Friday due to the public holiday. Please ignore any bonus emails you may receive.,ham
Important notice: unusual activity detected in your account. Verify your identity immediately. Regarding the schedule discussion from last week.,spam
Thanks for sending the contract. I've added a few comments for review. Please ignore any urgent emails you may receive.,ham
You are pre-approved for a platinum credit card. No credit check required.,spam
Hot investment tips just for selected members.,spam
The printer on the second floor is out of toner.,ham
Confirm your password to avoid permanent account suspension. Regarding the schedule discussion from last week.,spam
Limited time investment opportunity with guaranteed 15% weekly returns.,spam
Your grocery order will arrive between 5–7 PM. Please ignore any urgent emails you may receive.,ham
You are pre-approved for a platinum credit card. No credit check required.,spam
Thanks for sending the contract. I've added a few comments for review. Please ignore any bonus emails you may receive.,ham
Unlock hidden crypto profits today.,spam
Reminder: parent-teacher meeting this Thursday at 6 PM.,ham
Earn passive income online using this proven method.,spam
Unlock hidden crypto profits today.,spam
Please review the updated privacy policy attached below. Please ignore any free emails you may receive.,ham
The training materials are now available in the portal.,ham
Attached is the draft proposal for the new marketing campaign.,ham
Can we schedule a quick Zoom call tomorrow morning?,ham
The package was delivered but reception mentioned the box was slightly damaged.,ham
You have been chosen as a mystery shopper. Regarding the invoice discussion from last week.,spam
Confirm your password to avoid permanent account suspension.,spam
Congratulations! You've been selected for an exclusive cash reward. Claim within 24 hours.,spam
Reminder: parent-teacher meeting this Thursday at 6 PM. Please ignore any free emails you may receive.,ham
Confirm your password to avoid permanent account suspension. Regarding the invoice discussion from last week.,spam
The package was delivered but reception mentioned the box was slightly damaged.,ham
The printer on the second floor is out of toner.,ham
Thanks again for your support during the release process. Please ignore any offer emails you may receive.,ham
You have been chosen as a mystery shopper.,spam
"Your tax refund of $1,240 is pending. Submit your details to receive it.",spam
Secret weight loss formula doctors don't want you to know. Regarding the report discussion from last week.,spam
"Hi Sarah, just following up on the Q4 financial summary. Let me know if you need clarification on any figures. Please ignore any winner emails you may receive.",ham
Important notice: unusual activity detected in your account. Verify your identity immediately. Regarding the update discussion from last week.,spam
Earn passive income online using this proven method. Regarding the project discussion from last week.,spam
Secret weight loss formula doctors don't want you to know. Regarding the report discussion from last week.,spam
Your dentist appointment is confirmed for March 12th at 09:45.,ham
Your flight to Berlin is scheduled to depart at 18:20 from Gate A12.,ham
Your Netflix subscription has been renewed successfully. Please ignore any offer emails you may receive.,ham
Can you please upload the final slides to the shared drive before the client call? Please ignore any offer emails you may receive.,ham
Confirm your password to avoid permanent account suspension. Regarding the project discussion from last week.,spam
I might be late to the meeting because of traffic. Please ignore any free emails you may receive.,ham
Could you double-check the bank transfer from last week? Please ignore any offer emails you may receive.,ham
Exclusive reward waiting for you. Click to redeem. Regarding the schedule discussion from last week.,spam
Your flight to Berlin is scheduled to depart at 18:20 from Gate A12. Please ignore any urgent emails you may receive.,ham
Can we schedule a quick Zoom call tomorrow morning?,ham
Can you please upload the final slides to the shared drive before the client call? Please ignore any click here emails you may receive.,ham
Could you double-check the bank transfer from last week? Please ignore any bonus emails you may receive.,ham
Congratulations! You've been selected for an exclusive cash reward. Claim within 24 hours.,spam
Thanks again for your support during the release process. Please ignore any winner emails you may receive.,ham
Please confirm once you’ve signed the NDA. Please ignore any click here emails you may receive.,ham
Act now to secure 80% discount on luxury watches. Regarding the meeting discussion from last week.,spam
The training materials are now available in the portal.,ham
Thanks for sending the contract. I've added a few comments for review.,ham
Congratulations! You've been selected for an exclusive cash reward. Claim within 24 hours. Regarding the project discussion from last week.,spam
Your flight to Berlin is scheduled to depart at 18:20 from Gate A12. Please ignore any click here emails you may receive.,ham
Can we schedule a quick Zoom call tomorrow morning?,ham
Free airline tickets available for a limited time.,spam
Attached is the draft proposal for the new marketing campaign. Please ignore any free emails you may receive.,ham
The printer on the second floor is out of toner.,ham
Hot investment tips just for selected members. Regarding the meeting discussion from last week.,spam
Free airline tickets available for a limited time. Regarding the meeting discussion from last week.,spam
We attempted to deliver your parcel but failed. Reschedule delivery here.,spam
You have been chosen as a mystery shopper. Regarding the project discussion from last week.,spam
Attached is the draft proposal for the new marketing campaign. Please ignore any offer emails you may receive.,ham
Can we schedule a quick Zoom call tomorrow morning? Please ignore any free emails you may receive.,ham
Please review the updated privacy policy attached below. Please ignore any click here emails you may receive.,ham
You have an unpaid invoice. Download the document to review. Regarding the project discussion from last week.,spam
Your dentist appointment is confirmed for March 12th at 09:45.,ham
We attempted to deliver your parcel but failed. Reschedule delivery here.,spam
Final reminder: your subscription will be canceled unless payment is updated. Regarding the update discussion from last week.,spam
Congratulations! You've been selected for an exclusive cash reward. Claim within 24 hours.,spam
Unlock hidden crypto profits today.,spam
You have been chosen as a mystery shopper. Regarding the report discussion from last week.,spam
Thanks again for your support during the release process.,ham
I might be late to the meeting because of traffic. Please ignore any free emails you may receive.,ham
Your grocery order will arrive between 5–7 PM.,ham
Secret weight loss formula doctors don't want you to know. Regarding the project discussion from last week.,spam
Win a brand new MacBook Pro. Register now! Regarding the project discussion from last week.,spam
Thanks for sending the contract. I've added a few comments for review.,ham
Hot investment tips just for selected members. Regarding the project discussion from last week.,spam
Free airline tickets available for a limited time. Regarding the invoice discussion from last week.,spam
Confirm your password to avoid permanent account suspension.,spam
Thanks for sending the contract. I've added a few comments for review. Please ignore any click here emails you may receive.,ham
Final reminder: your subscription will be canceled unless payment is updated.,spam
Can you please upload the final slides to the shared drive before the client call?,ham
Could you double-check the bank transfer from last week?,ham
Limited time investment opportunity with guaranteed 15% weekly returns.,spam
Let’s move our project sync to Friday due to the public holiday.,ham
Can we schedule a quick Zoom call tomorrow morning?,ham
You have been chosen as a mystery shopper.,spam
Exclusive reward waiting for you. Click to redeem. Regarding the update discussion from last week.,spam
The IT team resolved the login issue. Try accessing the system again. Please ignore any bonus emails you may receive.,ham
Free airline tickets available for a limited time.,spam
Thanks for sending the contract. I've added a few comments for review. Please ignore any urgent emails you may receive.,ham
"Your tax refund of $1,240 is pending. Submit your details to receive it.",spam
"Hi Sarah, just following up on the Q4 financial summary. Let me know if you need clarification on any figures.",ham
Final reminder: your subscription will be canceled unless payment is updated.,spam
We attempted to deliver your parcel but failed. Reschedule delivery here.,spam
Can we schedule a quick Zoom call tomorrow morning?,ham
Can you please upload the final slides to the shared drive before the client call? Please ignore any click here emails you may receive.,ham
The printer on the second floor is out of toner. Please ignore any click here emails you may receive.,ham
You have an unpaid invoice. Download the document to review.,spam
Please review the updated privacy policy attached below. Please ignore any winner emails you may receive.,ham
Unlock hidden crypto profits today. Regarding the meeting discussion from last week.,spam
Confirm your password to avoid permanent account suspension.,spam
Confirm your password to avoid permanent account suspension.,spam
Immediate action required: verify your banking credentials. Regarding the report discussion from last week.,spam
You have been chosen as a mystery shopper. Regarding the meeting discussion from last week.,spam
Please review the updated privacy policy attached below. Please ignore any click here emails you may receive.,ham
Immediate action required: verify your banking credentials.,spam
You have been chosen as a mystery shopper.,spam
Your grocery order will arrive between 5–7 PM.,ham
The IT team resolved the login issue. Try accessing the system again.,ham
Earn passive income online using this proven method.,spam
Final reminder: your subscription will be canceled unless payment is updated. Regarding the invoice discussion from last week.,spam
Please review the updated privacy policy attached below.,ham
Please review the updated privacy policy attached below. Please ignore any free emails you may receive.,ham
"Hi Sarah, just following up on the Q4 financial summary. Let me know if you need clarification on any figures. Please ignore any bonus emails you may receive.",ham
Limited time investment opportunity with guaranteed 15% weekly returns.,spam
Let’s move our project sync to Friday due to the public holiday.,ham
Congratulations! You've been selected for an exclusive cash reward. Claim within 24 hours. Regarding the meeting discussion from last week.,spam
Confirm your password to avoid permanent account suspension. Regarding the invoice discussion from last week.,spam
Update your billing information to continue service.,spam
"Hi Sarah, just following up on the Q4 financial summary. Let me know if you need clarification on any figures. Please ignore any urgent emails you may receive.",ham
Update your billing information to continue service.,spam
Act now to secure 80% discount on luxury watches.,spam
Unlock hidden crypto profits today.,spam
You have an unpaid invoice. Download the document to review.,spam
Could you double-check the bank transfer from last week?,ham
Earn passive income online using this proven method. Regarding the meeting discussion from last week.,spam
Can you please upload the final slides to the shared drive before the client call?,ham
Can you please upload the final slides to the shared drive before the client call? Please ignore any urgent emails you may receive.,ham
Your flight to Berlin is scheduled to depart at 18:20 from Gate A12.,ham
Win a brand new MacBook Pro. Register now!,spam
Please confirm once you’ve signed the NDA.,ham
We attempted to deliver your parcel but failed. Reschedule delivery here. Regarding the meeting discussion from last week.,spam
Thanks again for your support during the release process.,ham
The printer on the second floor is out of toner.,ham
Your flight to Berlin is scheduled to depart at 18:20 from Gate A12.,ham
The package was delivered but reception mentioned the box was slightly damaged.,ham
Confirm your password to avoid permanent account suspension. Regarding the update discussion from last week.,spam
Final reminder: your subscription will be canceled unless payment is updated. Regarding the report discussion from last week.,spam
Update your billing information to continue service. Regarding the schedule discussion from last week.,spam
I might be late to the meeting because of traffic. Please ignore any bonus emails you may receive.,ham